REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,BAMBEY,DANGALMA,ECOLE SINDIANE (EX SEO SINDIANE),1,569,CLASSE CE2
DIOURBEL,BAMBEY,DANGALMA,GATT DIOCOUL 1,1,555,CLASSE CE1
DIOURBEL,BAMBEY,DANGALMA,GATT DIOCOUL 1,2,555,CLASSE CP
DIOURBEL,BAMBEY,DANGALMA,GATT GALLO,1,583,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,GATT GALLO,2,586,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,GATT GALLO,3,131,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,GATT NGARAFF 1,1,528,CLASSE CM1
DIOURBEL,BAMBEY,DANGALMA,GATT NGARAFF 1,2,527,CLASSE CE2
DIOURBEL,BAMBEY,DANGALMA,GATT NGARAFF 1,3,528,ECOLE CLASSE CP
DIOURBEL,BAMBEY,DANGALMA,KEUR GALLO,1,281,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,LYCEE DE DANGALMA,1,367,SALLE 6
DIOURBEL,BAMBEY,DANGALMA,LYCEE DE DANGALMA,2,368,SALLE 7
DIOURBEL,BAMBEY,DANGALMA,MERINA,1,588,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,MERINA,2,53,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,NDIADIANE,1,588,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,NDIADIANE,2,75,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,NDIOBENE NGOYE,1,245,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,NGOKHOTHIE,1,470,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,NGOKHOTHIE EX LAMBAYE,1,256,CLASSE CI
DIOURBEL,BAMBEY,DANGALMA,NGUEME YADIAMA,1,286,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,NGUITHIE PEYE,1,464,CLASSE CE2
DIOURBEL,BAMBEY,DANGALMA,SANGHAYE,1,380,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,SAO,1,180,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DANGALMA,TALLAGNE,1,561,CASE DE SANTE
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),BARIDIAME,1,359,CLASSE CE2
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),DINGUIRAYE,1,560,CLASSE CM2
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),DINGUIRAYE,2,180,SALLE DE CLASSE
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),GOLL,1,355,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),GRAME,1,542,CLASSE CM1
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),GRAME,2,105,SALLE DE CLASSE
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),KANGHARLO,1,254,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),KEUR MADIOP,1,430,CLASSE CM2
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),KEUR MADIOP,2,430,CLASSE CI
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),MBAYE,1,149,CLASSE CP
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),NDIANE 1,1,246,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),THIAYTOU,1,570,CLASSE CM 2
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),THIAYTOU,2,102,SALLE DE CLASSE
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),THIOKHOL,1,299,ABRI PROVISOIRE
DIOURBEL,BAMBEY,DINGUIRAYE (BAMBEY),TOUNGHOR,1,300,CLASSE CM1
DIOURBEL,BAMBEY,GAWANE,DAROU KHOUDOSS,1,370,ABRI PROVISOIRE
DIOURBEL,BAMBEY,GAWANE,GAPP,1,215,ECOLE GAPP SALLE 1
DIOURBEL,BAMBEY,GAWANE,GAWANE ESCALE,1,371,ECOLE GAWANE SALLE 1
