REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,BOUNKILING,DIAROUME,BANTANTO,1,428.0,CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,BISSARI LANG,1,185.0,ECOLE CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,1,517.0,CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,2,526.0,CLASSE CE2
SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,3,521.0,CLASSE CM2
SEDHIOU,BOUNKILING,DIAROUME,DIAROUME,4,367.0,CLASSE CM1
SEDHIOU,BOUNKILING,DIAROUME,KANDIADIOU,1,308.0,CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,KANDIADIOU,2,309.0,CM2 ECOLE ELEMENTAIRE
SEDHIOU,BOUNKILING,DIAROUME,KANDIOUNKOU,1,306.0,CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,KANDIOUNKOU,2,302.0,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,DIAROUME,KATABA 1,1,151.0,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,DIAROUME,KOUSSAOR,1,249.0,ECOLE CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,MANCONTON,1,269.0,CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,NDIAGNENE,1,282.0,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,DIAROUME,NDIAMA,1,453.0,CLASSE CI
SEDHIOU,BOUNKILING,DIAROUME,NDIAMA,2,454.0,CLASSE CE2
SEDHIOU,BOUNKILING,DIAROUME,NDIAMA,3,453.0,CLASSE CM1
SEDHIOU,BOUNKILING,DIAROUME,NDIAMA,4,451.0,ECOLE CLASSE CE1
SEDHIOU,BOUNKILING,DIAROUME,NIANDANKI,1,449.0,ECOLE CLASSE CP
SEDHIOU,BOUNKILING,DIAROUME,SOUAKI,1,371.0,CLASSE CE2
SEDHIOU,BOUNKILING,DIAROUME,TOUBA DIASSOR,1,431.0,CLASSE CI
SEDHIOU,BOUNKILING,DJINANY,BANDOUMA DIOUKA,1,86.0,ABRI PROVISOIRE
SEDHIOU,BOUNKILING,DJINANY,BANDOUMBA MAMADOU,1,248.0,ECOLE BANDOUMBA M. SALLE DE CLASSE
SEDHIOU,BOUNKILING,DJINANY,DJINANI,1,538.0,CP1 ECOLE ELEMENTAIRE
SEDHIOU,BOUNKILING,DJINANY,ECOLE DE MANSABANG,1,428.0,ABRI PORVISOIRE
SEDHIOU,BOUNKILING,DJINANY,GASSIKON MANDINGUE,1,156.0,CLASSE C P
SEDHIOU,BOUNKILING,DJINANY,KAMBALEBA,1,221.0,CE2 ECOLE ELEMENTAIRE
SEDHIOU,BOUNKILING,FAOUNE,DIOKOUL,1,421.0,ECOLE DIOKOUL CLASSE CI
