REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,MBOUR,FISSEL,MBOULOUCTENE SECCO,1,326.0,CLASSE CE2
THIES,MBOUR,FISSEL,MEDINE,1,471.0,CLASSE CM2
THIES,MBOUR,FISSEL,NDAGDAM,1,259.0,CLASSE CI
THIES,MBOUR,FISSEL,NDIASSANE,1,388.0,CLASSE CM2
THIES,MBOUR,FISSEL,NDIASSANE,2,388.0,CLASSE CE1
THIES,MBOUR,FISSEL,NDIASSANE KEUR NDIOUMA,1,218.0,ECOLE CLASSE CM1
THIES,MBOUR,FISSEL,NDOFFANE,1,339.0,CLASSE CM2
THIES,MBOUR,FISSEL,NDOUNGH,1,457.0,CLASSE CM1
THIES,MBOUR,FISSEL,NDOUNGH,2,456.0,CLASSE CE2
THIES,MBOUR,FISSEL,NDOYOMBOUTH,1,280.0,CLASSE CM1
THIES,MBOUR,FISSEL,NGHONEME,1,235.0,CLASSE CI
THIES,MBOUR,FISSEL,NGUERANE,1,160.0,ECOLE CLASSE CP
THIES,MBOUR,FISSEL,SASSAKH,1,181.0,ECOLE CLASSE ALPHABETISATION
THIES,MBOUR,FISSEL,SASSAL,1,217.0,CLASSE CM1
THIES,MBOUR,FISSEL,SOP,1,508.0,CLASSE CM1
THIES,MBOUR,FISSEL,SOP,2,508.0,CLASSE CE2
THIES,MBOUR,FISSEL,TOCOMACK,1,537.0,CLASSE CP
THIES,MBOUR,FISSEL,TOCOMACK,2,96.0,ECOLE CLASSE CM2
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,1,579.0,SALLE 1
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,2,577.0,SALLE 4
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,3,574.0,SALLE 6
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,4,576.0,SALLE 10
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,5,577.0,SALLE 14
THIES,MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,6,577.0,SALLE 18
THIES,MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,1,384.0,SALLE 1
THIES,MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,2,383.0,SALLE 2
THIES,MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,3,384.0,SALLE DE REUNION 1
THIES,MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,4,383.0,SALLE DE REUNION 2
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,1,396.0,CLASSE CIA
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,2,395.0,CLASSE CM2
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,3,395.0,SALLE DE LA BIBLIOTHEQUE
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINTE-THERESE,4,395.0,CLASSE CE2A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,1,347.0,CLASSE CIA
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,2,346.0,CLASSE CIB
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,3,347.0,CLASSE CPA
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,4,346.0,CLASSE CPB
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,5,345.0,CLASSE CE1A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SAINT THOMAS,6,347.0,CLASSE CE1B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,1,529.0,LYCEE LEOPOLD S.SENGHOR SALLE 1
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,2,527.0,LYCEE LEOPOLD S.SENGHOR SALLE 2
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,3,528.0,LYCEE LEOPOLD S.SENGHOR SALLE 3
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,4,530.0,LYCEE LEOPOLD S.SENGHOR SALLE 4
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,5,527.0,LYCEE LEOPOLD S.SENGHOR SALLE 9
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,6,529.0,LYCEE LEOPOLD S.SENGHOR SALLE 10
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,7,530.0,LYCEE LEOPOLD S.SENGHOR SALLE 11
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,8,528.0,LYCEE LEOPOLD S.SENGHOR SALLE 12
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,9,528.0,LYCEE LEOPOLD S.SENGHOR SALLE 17
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,10,529.0,LYCEE LEOPOLD S.SENGHOR SALLE 18
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,11,528.0,LYCEE LEOPOLD S.SENGHOR SALLE 19
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,12,527.0,LYCEE LEOPOLD S.SENGHOR SALLE 20
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,13,527.0,LYCEE LEOPOLD S.SENGHOR SALLE 21
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,14,529.0,LYCEE LEOPOLD S.SENGHOR SALLE 22
THIES,MBOUR,JOAL FADIOUTH,ECOLE SANTHIE 2,15,529.0,LYCEE LEOPOLD S.SENGHOR SALLE 23
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,1,317.0,CLASSE CI B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,2,317.0,CLASSE CI A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,3,315.0,CLASSE CP A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,4,317.0,CLASSE CP B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,5,316.0,CLASSE CE1 B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,6,317.0,CLASSE CM2 B
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,7,317.0,CLASSE CM2 A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,8,315.0,CLASSE CM1 A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,9,317.0,CLASSE CE2 A
THIES,MBOUR,JOAL FADIOUTH,ECOLE SONAR NDIAYE,10,315.0,CLASSE CE2 B
THIES,MBOUR,JOAL FADIOUTH,ECOLE WALY DIOUF,1,451.0,CLASSE CM1A
THIES,MBOUR,JOAL FADIOUTH,ECOLE WALY DIOUF,2,451.0,CLASSE CE2 A
THIES,MBOUR,JOAL FADIOUTH,ECOLE WALY DIOUF,3,450.0,CLASSE CE1A
